Predicted Price		Real Price		Given Data		
[407440.261]		[504000.]		[ 6.575  4.98  15.3  ]		
[272915.456]		[453600.]		[ 6.421  9.14  17.8  ]		
[622752.12]		[728700.]		[ 7.185  4.03  17.8  ]		
[944106.227]		[701400.]		[ 6.998  2.94  18.7  ]		
[217161.183]		[760200.]		[ 7.147  5.33  18.7  ]		
[277831.638]		[602700.]		[ 6.43  5.21 18.7 ]		
[201804.425]		[480900.]		[ 6.012 12.43  15.2  ]		
[485153.323]		[569100.]		[ 6.172 19.15  15.2  ]		
[441339.556]		[346500.]		[ 5.631 29.93  15.2  ]		
[695274.733]		[396900.]		[ 6.004 17.1   15.2  ]		
[280463.655]		[315000.]		[ 6.377 20.45  15.2  ]		
[429714.61]		[396900.]		[ 6.009 13.27  15.2  ]		
[204221.366]		[455700.]		[ 5.889 15.71  15.2  ]		
[370597.438]		[428400.]		[ 5.949  8.26  21.   ]		
[560861.042]		[382200.]		[ 6.096 10.26  21.   ]		
[501273.824]		[417900.]		[ 5.834  8.47  21.   ]		
[284909.752]		[485100.]		[ 5.935  6.58  21.   ]		
[306543.253]		[367500.]		[ 5.99 14.67 21.  ]		
[522691.705]		[424200.]		[ 5.456 11.69  21.   ]		
[456013.869]		[382200.]		[ 5.727 11.28  21.   ]		
[611218.258]		[285600.]		[ 5.57 21.02 21.  ]		
[298003.575]		[411600.]		[ 5.965 13.83  21.   ]		
[550608.494]		[319200.]		[ 6.142 18.72  21.   ]		
[572816.629]		[304500.]		[ 5.813 19.88  21.   ]		
[460474.598]		[327600.]		[ 5.924 16.3   21.   ]		
[331322.78]		[291900.]		[ 5.599 16.51  21.   ]		
[372872.866]		[348600.]		[ 5.813 14.81  21.   ]		
[366008.761]		[310800.]		[ 6.047 17.28  21.   ]		
[640011.859]		[386400.]		[ 6.495 12.8   21.   ]		
[560373.956]		[441000.]		[ 6.674 11.98  21.   ]		
[534765.015]		[266700.]		[ 5.713 22.6   21.   ]		
[391540.587]		[304500.]		[ 6.072 13.04  21.   ]		
[619570.843]		[277200.]		[ 5.95 27.71 21.  ]		
[306231.123]		[275100.]		[ 5.701 18.35  21.   ]		
[238921.091]		[283500.]		[ 6.096 20.34  21.   ]		
[514802.24]		[396900.]		[ 5.933  9.68  19.2  ]		
[170689.972]		[420000.]		[ 5.841 11.41  19.2  ]		
[439540.487]		[441000.]		[ 5.85  8.77 19.2 ]		
[578150.571]		[518700.]		[ 5.966 10.13  19.2  ]		
[264318.949]		[646800.]		[ 6.595  4.32  18.3  ]		
[988039.959]		[732900.]		[ 7.024  1.98  18.3  ]		
[323816.636]		[558600.]		[ 6.77  4.84 17.9 ]		
[555285.531]		[531300.]		[ 6.169  5.81  17.9  ]		
[651770.801]		[518700.]		[ 6.211  7.44  17.9  ]		
[378986.79]		[445200.]		[ 6.069  9.55  17.9  ]		
[268682.456]		[405300.]		[ 5.682 10.21  17.9  ]		
[366319.72]		[420000.]		[ 5.786 14.15  17.9  ]		
[306140.045]		[348600.]		[ 6.03 18.8  17.9 ]		
[226230.48]		[302400.]		[ 5.399 30.81  17.9  ]		
[224888.664]		[407400.]		[ 5.602 16.2   17.9  ]		
[415569.047]		[413700.]		[ 5.963 13.45  16.8  ]		
[472921.721]		[430500.]		[ 6.115  9.43  16.8  ]		
[420938.865]		[525000.]		[ 6.511  5.28  16.8  ]		
[491228.879]		[491400.]		[ 5.998  8.43  16.8  ]		
[368587.503]		[396900.]		[ 5.888 14.8   21.1  ]		
[286702.446]		[743400.]		[ 7.249  4.81  17.9  ]		
[317924.815]		[518700.]		[ 6.383  5.77  17.3  ]		
[883011.441]		[663600.]		[ 6.816  3.95  15.1  ]		
[237980.009]		[489300.]		[ 6.145  6.86  19.7  ]		
[172272.552]		[411600.]		[ 5.927  9.22  19.7  ]		
[496655.64]		[392700.]		[ 5.741 13.15  19.7  ]		
[274445.125]		[336000.]		[ 5.966 14.44  19.7  ]		
[675637.158]		[466200.]		[ 6.456  6.73  19.7  ]		
[449966.849]		[525000.]		[ 6.762  9.5   19.7  ]		
[185278.577]		[693000.]		[ 7.104  8.05  18.6  ]		
[191929.96]		[493500.]		[ 6.29  4.67 16.1 ]		
[457312.055]		[407400.]		[ 5.787 10.24  16.1  ]		
[286968.073]		[462000.]		[ 5.878  8.1   18.9  ]		
[257310.353]		[365400.]		[ 5.594 13.09  18.9  ]		
[162480.751]		[438900.]		[ 5.885  8.79  18.9  ]		
[354049.191]		[508200.]		[ 6.417  6.72  19.2  ]		
[266411.182]		[455700.]		[ 5.961  9.88  19.2  ]		
[311986.46]		[478800.]		[ 6.065  5.52  19.2  ]		
[365189.758]		[491400.]		[ 6.245  7.54  19.2  ]		
